Data;Imp-Total $;Imp_Bens_capital _$;Imp-Bens intermediarios $;Imp-Bens de consumo($);Imp-Bens de consumo duraveis($);Imp-Bens de consumo semiduraveis e nao duraveis(US$);Imp-Combustiveis e lubrificantes(US$);Imp - Bens nao especificados anteriormente(US$);Exp-Total(US$);Exp- Prod. basicos(US$);Exp-Prod. Semimanufaturados(US$);Exp-Prod. Manufaturados(US$);PIB-mensal(MU$);credito(MR$);Infl- IGPM;Infl-IPCA;Div Publica(MR$);Div publica(M$);Div Pub(%PIB)
out/17;13678843512;1581405814;8226859555;2121273184;515863651;1605409533;1744863643;4441316;18871946607;8465732691;2956881395;6997493827;173188;3065970;0.2;0.42;3415082.17;1042359.42;81.42
nov/17;13142506475;1438215972;7832935805;2252530570;522011909;1730518661;1604574095;14250033;16683107767;7004156808;2520665926;6774246399;172754;3077518;0.52;0.28;3453857.69;1059140.66;82.12
dez/17;12597515273;1463771048;7476708312;2000872054;446112988;1554759066;1650674243;5489616;17595288111;7273421749;2624747098;7282746978;174150;3102098;0.89;0.44;3505361.47;1059854.11;83.14
jan/18;14202766580;1421011250;8509601550;2141739718;461492559;1680247159;2117679487;12734575;17027282678;7551824658;2629157941;6375047992;148986;3077743;0.76;0.29;3532846.45;1117352.92;82.3
fev/18;14411341031;3269911376;7414312513;2031120728;465390652;1565730076;1695455689;540725;17410056953;6829698944;2255557359;7918130318;146724;3071131;0.07;0.32;3560272.77;1097393.2;83.12
mar/18;13808687820;1562562278;8290147522;2153658796;526971620;1626687176;1794632372;7686852;20228663253;9925021719;2535352396;7267447074;159875;3091045;0.64;0.09;3579759.73;1077202.61;84.56
abr/18;13792173075;1772461154;8454554532;2020374495;573092221;1447282274;1542737594;2045300;19712800434;10013178890;2392110266;6845126471;157160;3100160;0.57;0.22;3566365.94;1024670.58;84.88
mai/18;13260789020;1458991184;7985687335;2221819992;475766175;1746053817;1581024124;13266385;19325063725;11061864423;2400121879;5415285246;150384;3114205;1.38;0.4;3540645.07;947608.68;86.14
jun/18;14324850972;1687159995;8919384896;2195714755;610553069;1585161686;1516304693;6286633;20114054526;9556387647;2911050185;7170673397;156320;3135440;1.87;1.26;3573675.31;926975.33;86.75
jul/18;18651023993;4768388414;10095402711;2183636759;559463270;1624173489;1602307976;1288133;22524534227;12699160451;2403371083;7198373566;159957;3131033;0.51;0.33;3641522.19;969960.36;85.93
ago/18;18778067740;3798672896;10202632191;2399293841;706180941;1693112900;2357953602;19515210;21552692723;10578194026;2114233754;8684490681;162441;3163030;0.7;-0.09;3595765.86;869655.81;86.24
set/18;14115911776;1578430512;8895633981;2007179685;528143187;1479036498;1556137018;78530580;19187203958;9989547611;2776006060;6250639630;154132;3178181;1.52;0.48;3673267.23;917559.82;86.35
out/18;16105955810;1840124821;9590628927;2396263912;553419178;1842844734;2268269250;10668900;21897544885;11319452861;2867576080;7584561745;159324;3173709;0.89;0.45;3772984.29;1015034.38;85.23
nov/18;16862252082;3885835922;9063273802;2091635061;470100191;1621534870;1807864647;13642650;20939075942;9934642842;2568270367;8428180237;156941;3208826;-0.49;-0.21;3778639.62;978237.92;86.14
